rank,rawChinese,rawPinyin,english,englishMeaning,chineseMeaning,chineseExample
0,什么,shén me,what,interrogative pronoun,疑问代词。（１）表示疑问。ａ）单用，问事物：这是～？｜你找～？｜他说～？｜～叫押韵？ｂ）用在名词前面，问人或事物：～人？｜～事儿？｜～颜色？｜～地方？（２）虚指，表示不肯定的事物：他们仿佛在谈论～｜我饿了，想吃点儿～。（３）任指。ａ）用在‘也’或‘都’前面，表示所说的范围之内没有例外：他～也不怕｜只要认真学，～都能学会。ｂ）两个‘什么’前后照应，表示由前者决定后者：想～说～｜～场合说～话。（４）表示惊讶或不满：～！九点了，车还没有开！｜这是～鞋！一只大一只小的！（５）表示责难：你笑～？（不应该笑）｜你说呀！装～哑巴？（不必装哑巴）（６）表示不同意对方说的某一句话：～晒一天？晒三天也晒不干。（７）用在几个并列成分前面，表示列举不尽：～送个信儿啊，跑个腿儿啊，他都干得了。<br>,1、<b>什么</b>时候打破规则 <br />   2、 那么问题到底是<b>什么</b>呢？ <br />   3、 永久的中间用户需要<b>什么</b> <br />   4、 “那，有<b>什么</b>？”<br />
1,没有,méi yǒu,not,negates meaning of verb,１＜轻＞（１）表示‘领有、具有’等的否定：～票｜～理由。（２）表示存在的否定：屋里～人。（３）用在‘谁、哪个’等前面，表示‘全都不’：～谁会同意这样做｜～哪个说过这样的话。（４）不如；不及：你～他高｜谁都～他会说话。（５）不够；不到：来了～三天就走了。<br>,1、<b>没有</b>人愿意停留在新手级别。 <br />   2、 <b>没有</b>人希望自己使用的机器责备它。 <br />   3、 “<b>没有</b>。” <br />   4、 你无辜地回答：“<b>没有</b>。”<br />
2,自己,zì jǐ,oneself,"The person, previously mentioned",（１）代词，复指前头的名词或代词（多强调不由于外力）：改造～｜鞋我～去买吧｜瓶子不会～倒下来，准是有人碰了它。（２）亲近的；关系密切的：～人｜～弟兄。<br>,1、没有人希望<b>自己</b>使用的机器责备它。 <br />   2、 她查看<b>自己</b>的约会记录，看看哪个时段<b>自己</b>还没有安排。 <br />   3、 这时，他们会感觉<b>自己</b>在直接操纵交互和数据。 <br />   4、 （与猜测正好相反，极少有人能够清楚地表述<b>自己</b>的需要。<br />
3,知道,zhī dào,know,be certain or sure about (something),＜轻＞对于事实或道理有认识：他～的事情很多｜你的意思我～。<br>,1、他们<b>知道</b>信息是不完整的，有时还是错误的，甚至<b>知道</b>有时需要加速处理数据以便让顾客高兴。 <br />   2、 体贴的软件<b>知道</b>什么时候调整规则 <br />   3、 “用户需要<b>知道</b>他们犯了错误”这一假设也是不对的，<b>知道</b>请求了无效的字体大小会有多重要？ <br />   4、 我们是怎么<b>知道</b>的呢？<br />
4,起来,qǐ lái,arise,"start to exist, originate",１＜轻＞（１）由躺而坐，由坐而站：你～，让老太太坐下。（２）起床：刚～就忙着下地干活儿。（３）泛指兴起、奋起、升起等：群众～了｜飞机～了。<br>,1、交互设计者必须要将实现模型隐藏<b>起来</b>，不能让用户看到。 <br />   2、 将功能需求转换到功能元素，我们的设计开始变得清晰具体<b>起来</b>。 <br />   3、 然而，虽然使用这些控件能够确保软件实现<b>起来</b>很容易，但无法确保使用<b>起来</b>也会很容易。 <br />   4、 将对象与视觉符号关联<b>起来</b><br />
5,时候,shí hou,time,numerical indication of a particular moment in time,＜口＞（～儿）年纪小的时候：这是他～的相片。<br>,1、什么<b>时候</b>打破规则 <br />   2、 体贴的软件知道什么<b>时候</b>调整规则 <br />   3、 如果你在没有理解“是什么”的<b>时候</b>，就直接进入了“怎样？” 你会假设这个工具的输出是报告。 <br />   4、 为什么它不问你是什么<b>时候</b>做的这些修改？<br />
6,这样,zhè yàng,so,in a particular manner,（～儿）指示代词，指示性质、状态、方式、程度等：他就是～一个大公无私的人｜他的认识和态度就是～转变的｜工人阶级要担负～重大的责任｜～，就可以引起同学们爬山的兴趣。也说这么样。注意：‘这（么）样’可以用做定语或状语，也可以用做补语或谓语。‘这么’只能用做定语或状语。<br>,1、当然了，<b>这样</b>还是可能会被滥用。 <br />   2、 <b>这样</b>可以节省很多空间，并且易于阅读。 <br />   3、 没有理由让用户忍受<b>这样</b>的对话框。 <br />   4、 图10-2 程序员习惯看到<b>这样</b>的消息，并不意味着其他行业的人们也希望<b>这样</b>。<br />
7,怎么,zěn me,how,in what manner,疑问代词。（１）询问性质、状况、方式、原因等：这是～回事？｜这个问题该～解决？｜他～还不回来？（２）泛指性质、状况或方式：你愿意～办就～办。（３）有一定程度（用于否定式）：这出戏他刚学，还不～会唱（＝不大会唱）。<br>,1、你难道听不见程序员在喊：“<b>怎么</b>能改变已经成为标准的事物呢？ <br />   2、 看你<b>怎么</b>认为，如考虑到用户能够在任意选择的位置执行不连续的撤销，这样相当方便。 <br />   3、 无论是什么样的情况，这都是正常的行为，而不是错误，你也没有必要在计算机每次遭遇这种情况时都必须告诉它应该<b>怎么</b>做。 <br />   4、 这些人在<b>怎么</b>想呢？<br />
8,已经,yǐ jing,already,prior to some time,＜轻＞副词，表示事情完成或时间过去：天～黑了，他们还没有收工。<br>,1、这个例子在本书的1995年第1版中<b>已经</b>提到过，希望当前的状况<b>已经</b>有所好转。 <br />   2、 下拉菜单可以让他重新发现自己<b>已经</b>忘记名字的功能。 <br />   3、 同时，程序还自鸣得意地告诉用户打印<b>已经</b>取消。 <br />   4、 大部分邮件程序在这方面做的很好，未读邮件，<b>已经</b>回复和<b>已经</b>转发的邮件有明显的状态区别。<br />
9,现在,xiànzài,now,At present; at this time.,这个时候，指说话的时候，有时包括说话前后或长或短的一段时间（区别于‘过去’或‘将来’）：他～的情况怎么样？｜～劳动人民是国家的主人。<br>,1、<b>现在</b>我们准备开始设计。 <br />   2、 <b>现在</b>我们准备开始勾画出大致的界面，最初阶段，界面的视觉化工作应该极其简单。 <br />   3、 <b>现在</b>，程序的显示区完全处于这种工具的模态中。 <br />   4、 用户执行每次操作后，系统都应该提示<b>现在</b>可以执行的功能，以及如何调用这些功能。<br />
